case_id,fitness,case:concept:name,Nível de Urgência,variant_index,lead_time_case,total_processing_time
5452106,1.0,5452106,Baixo,53.0,190.0,190.0
5452111,1.0,5452111,Baixo,54.0,220.0,220.0
5452112,1.0,5452112,Baixo,1.0,81.0,81.0
5452116,1.0,5452116,Média,2.0,62.0,62.0
5452118,1.0,5452118,Baixo,1.0,64.0,64.0
5452126,1.0,5452126,Idoso,2.0,123.0,123.0
5452132,0.625,,,,,
5452133,1.0,5452133,Média,1.0,76.0,76.0
5452135,1.0,5452135,Baixo,2.0,123.0,123.0
5452136,1.0,5452136,Baixo,1.0,83.0,83.0
5452138,1.0,5452138,Baixo,1.0,116.0,116.0
5452145,1.0,5452145,Baixo,2.0,132.0,132.0
5452146,1.0,5452146,Média,8.0,51.0,51.0
5452393,1.0,5452393,Média,6.0,92.0,92.0
5452418,1.0,5452418,Coletar PCR,1.0,47.0,47.0
5452422,1.0,5452422,Baixo,1.0,35.0,35.0
5452454,1.0,5452454,Baixo,1.0,30.0,30.0
5452518,1.0,5452518,Média,15.0,233.0,233.0
5452525,1.0,5452525,Média,15.0,232.0,232.0
5452950,1.0,5452950,Não informado,1.0,37.0,37.0
5452959,1.0,5452959,Não informado,1.0,38.0,38.0
5453004,1.0,5453004,Não informado,1.0,40.0,40.0
5453018,1.0,5453018,Não informado,1.0,41.0,41.0
5453038,1.0,5453038,Não informado,1.0,49.0,49.0
5453061,1.0,5453061,Média,1.0,39.0,39.0
5453068,1.0,5453068,Coletar PCR,3.0,36.0,36.0
5453081,1.0,5453081,Baixo,3.0,68.0,68.0
5453086,1.0,5453086,Não informado,1.0,32.0,32.0
5453088,1.0,5453088,Não informado,1.0,38.0,38.0
5453096,1.0,5453096,Baixo,2.0,60.0,60.0
5453119,1.0,5453119,Baixo,1.0,24.0,24.0
5453128,1.0,5453128,Não informado,2.0,51.0,51.0
5453132,1.0,5453132,Não informado,1.0,26.0,26.0
5453145,1.0,5453145,Não informado,1.0,38.0,38.0
5453164,1.0,5453164,Não informado,1.0,24.0,24.0
5453174,1.0,5453174,Não informado,2.0,48.0,48.0
5453895,1.0,5453895,Baixo,1.0,43.0,43.0
